ADDRESS,INTERSECTION,RECORDUDATE,RECORD_TIME,VEHICLE_TYPE,LICENSE,STATE,COUNTY,TRACT,BLOCK_GROUP
2400 W CERMAK ROAD,WESTERN AND CERMAK,7/5/2014,09:35:37,truck,OZC-616,17,031,841200,2
3200 N CENTRAL AVENUE,CENTRAL AND BELMONT,10/10/2014,05:18:18,sedan,HDF-633,17,031,151200,2
3200 N KEDZIE AVE,BELMONT AND KEDZIE,9/8/2014,08:40:12,police,CYR-145,17,031,831100,1
2400 W DIVERSEY AVENUE,DIVERSEY AND WESTERN,8/13/2014,09:36:33,suv,PYS-179,17,031,210900,1
3200 W ARMITAGE AVENUE,KEDZIE AND ARMITAGE,8/7/2014,03:19:44,ambulance,BJH-060,17,031,221100,2
2800 N ASHLAND AVENUE,ASHLAND AND DIVERSEY,10/1/2014,16:27:23,police,UOG-939,17,031,062600,1
6400 W IRVING PK,IRVING PARK AND NARRAGANSETT,10/13/2014,01:10:31,police,YZN-150,17,031,170100,1
3100 S ARCHER AVENUE,ASHLAND AND ARCHER,10/1/2014,14:28:18,suv,LUF-210,17,031,840400,1
2400 N CENTRAL AVENUE,CENTRAL AND FULLERTON,7/21/2014,22:49:42,truck,SBZ-812,17,031,190602,2
6700 S CORNELL DRIVE,STONY ISLAND/CORNELL AND 67TH,7/8/2014,14:55:38,police,YSM-696,17,031,430200,5
1000 W FOSTER AVE,SHERIDAN AND FOSTER,9/10/2014,13:31:57,suv,ZCJ-831,17,031,030706,1
6300 S HALSTED STREET,HALSTED AND 63RD,8/19/2014,22:43:40,emergency,GFC-187,17,031,681000,4
4000 N CLARK STREET,CLARK AND IRVING PARK,9/10/2014,05:07:28,emergency,JDG-017,17,031,060100,2
3400 W NORTH AVE,HOMAN/KIMBALL AND NORTH,8/28/2014,00:23:42,sedan,AJL-579,17,031,230200,1
2000 W DIVERSEY PARKWAY,DAMEN AND DIVERSEY,7/31/2014,20:28:32,sedan,IKG-044,17,031,051400,2
4400 W GRAND AVE,KOSTNER AND NORTH,8/20/2014,22:37:43,emergency,KCV-793,17,031,230500,2
4000 W NORTH AVENUE,PULASKI AND NORTH,9/1/2014,12:00:48,suv,YZK-309,17,031,230500,1
5200 W MADISON STREET,LARAMIE AND MADISON,8/3/2014,02:10:31,ambulance,EZJ-692,17,031,251900,2
3400 W DIVERSEY AVENUE,KIMBALL AND DIVERSEY,10/7/2014,11:04:35,suv,NAU-520,17,031,210602,2
5500 S WESTERN AVE,55TH AND WESTERN,7/23/2014,00:31:59,ambulance,LUI-746,17,031,835100,1
4800 W 47TH ST,CICERO AND 47TH,9/1/2014,19:05:25,truck,UTO-976,17,031,560100,1
800 N CICERO AVENUE,CICERO AND CHICAGO,8/7/2014,16:25:08,police,YEC-874,17,031,251000,1
8700 S LAFAYETTE AVEN,LAFAYETTE AND 87TH,8/12/2014,18:53:34,emergency,VCO-961,17,031,842400,1
800 W 99TH ST,99TH AND HALSTED,7/13/2014,06:07:28,emergency,EIJ-846,17,031,730400,3
800 W 99TH ST,99TH AND HALSTED,8/6/2014,10:27:34,sedan,JLS-230,17,031,730400,3
4000 N CLARK STREET,CLARK AND IRVING PARK,7/3/2014,05:55:35,ambulance,UMY-319,17,031,060100,2
800 W FULLERTON AVENUE,HALSTED AND FULLERTON,7/16/2014,18:10:36,emergency,NVD-017,17,031,070300,2
4000 W LAWRENCE AVENUE,PULASKI AND LAWRENCE,9/15/2014,18:34:44,emergency,ZDJ-856,17,031,140400,1
2200 S WESTERN AVENUE,WESTERN AND CERMAK,10/9/2014,17:23:45,suv,TKB-300,17,031,841300,2
2200 S WESTERN AVENUE,WESTERN AND CERMAK,8/15/2014,03:31:16,sedan,HOY-172,17,031,841300,2
2000 N KEDZIE AVENUE,KEDZIE AND ARMITAGE,7/6/2014,09:14:03,truck,UKZ-971,17,031,221100,2
4000 N AUSTIN AVENUE,AUSTIN AND IRVING PARK,9/3/2014,15:11:35,suv,PKP-784,17,031,150502,2
8700 S VINCENNES,87TH AND VINCENNES,8/10/2014,08:02:55,emergency,TUH-425,17,031,711400,2
9500 S ASHLAND AVENUE,ASHLAND AND 95TH,7/21/2014,15:17:02,emergency,GIV-270,17,031,730400,2
7600 S STONY ISLAND A,STONEY ISLAND AND 76TH,9/25/2014,12:28:10,police,JSS-815,17,031,834200,4
4000 W CHICAGO AVENUE,PULASKI AND CHICAGO,9/2/2014,06:25:15,suv,LJU-760,17,031,842100,5
1000 W FOSTER AVE,SHERIDAN AND FOSTER,8/10/2014,23:21:34,emergency,EJL-610,17,031,030706,1
2000 W DIVISION,DIVISION AND DAMEN,10/11/2014,00:22:29,ambulance,ZLS-190,17,031,241400,4
500 N COLUMBUS DRIVE,COLUMBUS AND ILLINOIS,9/27/2014,02:40:39,police,HEP-287,17,031,081403,1
4400 W GRAND AVE,KOSTNER AND NORTH,7/14/2014,04:15:00,suv,LVU-471,17,031,230500,2
2400 W DIVERSEY AVENUE,DIVERSEY AND WESTERN,10/12/2014,06:19:35,emergency,TNK-176,17,031,210900,1
5200 W FULLERTON AVENUE,LARAMIE AND FULLERTON,9/19/2014,18:51:40,truck,UZL-177,17,031,190702,3
4400 W ROOSEVELT,ROOSEVELT AND KOSTNER,7/6/2014,10:07:15,truck,TLI-777,17,031,843000,2
4000 W ROOSEVELT ROAD,ROOSEVELT AND PULASKI,10/5/2014,03:36:17,ambulance,ECP-087,17,031,843000,2
2400 W 51ST ST,WESTERN AND 51ST,10/11/2014,05:32:40,suv,SGC-512,17,031,630600,1
4800 W CHICAGO AVENUE,CICERO AND CHICAGO,7/1/2014,17:42:27,ambulance,KJR-609,17,031,251000,1
4000 W NORTH AVENUE,PULASKI AND NORTH,8/28/2014,06:09:34,ambulance,PDZ-575,17,031,230500,1
2800 N DAMEN AVENUE,DAMEN AND DIVERSEY,7/20/2014,19:37:17,sedan,HMU-190,17,031,051400,2
400 S WESTERN AVENUE,VAN BUREN AND WESTERN,7/24/2014,18:02:09,emergency,ALG-903,17,031,282700,2
1600 N HALSTED STREET,HALSTED AND NORTH,7/30/2014,08:47:42,ambulance,UHL-661,17,031,832600,1
1200 N ASHLAND AVENUE,ASHLAND AND DIVISION,8/14/2014,01:00:15,sedan,HNH-244,17,031,241400,3
11100 S HALSTED ST,111TH AND HALSTED,9/28/2014,20:08:30,emergency,BAD-832,17,031,750600,1
1 S WESTERN AVE,MADISON AND WESTERN,8/21/2014,23:54:33,emergency,FOT-043,17,031,280900,1
2400 N WESTERN AVENUE,WESTERN AND FULLERTON,10/13/2014,11:22:05,emergency,VIG-219,17,031,830900,2
7432 W TOUHY AVENUE,TOUHY AND OSCEOLA,7/10/2014,07:11:02,police,GVZ-513,17,031,090100,2
6400 W FULLERTON AVENU,FULLERTON AND NARRAGANSETT,7/7/2014,05:04:47,ambulance,EJK-558,17,031,831500,1
2800 N DAMEN AVENUE,DAMEN AND DIVERSEY,8/23/2014,11:57:02,police,KIV-560,17,031,051400,2
4800 N ASHLAND AVENUE,ASHLAND AND LAWRENCE,8/30/2014,22:31:21,sedan,YRG-692,17,031,031000,3
5200 N WESTERN AVE,WESTERN AND FOSTER,8/9/2014,07:56:34,ambulance,JAE-741,17,031,040201,1
8700 S ASHLAND AVE,ASHLAND AND 87TH,7/10/2014,17:08:03,police,BTV-069,17,031,711300,1
3200 N KEDZIE AVENUE,BELMONT AND KEDZIE,8/26/2014,18:37:19,truck,VNG-372,17,031,831100,1
100 N CICERO AVENUE,CICERO AND WASHINGTON,7/17/2014,04:23:27,truck,KDV-588,17,031,251800,4
6400 N MILWAUKEE AVEN,MILWAUKEE AND DEVON,8/2/2014,11:10:27,sedan,DHL-893,17,031,100200,1
4800 W NORTH AVENUE,CICERO AND NORTH,10/4/2014,07:19:17,truck,AVD-854,17,031,250200,2
4700 S WESTERN AVENUE,4700 WESTERN,7/25/2014,12:07:51,sedan,HEZ-422,17,031,842800,4
3900 S WESTERN BLVD,PERSHING AND WESTERN,7/17/2014,08:26:20,suv,NLD-394,17,031,580700,2
5000 S ARCHER AVE,PULASKI AND ARCHER,7/21/2014,03:44:05,sedan,HRM-019,17,031,570300,2
4000 W MONTROSE AVENUE,PULASKI AND MONTROSE,7/17/2014,15:09:59,truck,IKL-327,17,031,140500,3
4932 W FOSTER AVENUE,ELSTON AND FOSTER,9/19/2014,01:30:56,truck,RUR-254,17,031,120400,2
2600 S KEDZIE AVENUE,KEDZIE AND 26TH,8/6/2014,08:02:50,suv,BTP-902,17,031,840800,1
0 N ASHLAND AVE,ASHLAND AND MADISON,10/6/2014,03:00:46,ambulance,UMF-248,,,,
5200 N NAGLE,FOSTER AND NAGLE,8/1/2014,17:00:24,ambulance,AZF-729,17,031,100600,2
2000 W DIVERSEY PARKWAY,DAMEN AND DIVERSEY,10/9/2014,23:00:26,police,EYV-303,17,031,051400,2
9500 S JEFFERY AVE,JEFFERY AND 95TH,7/11/2014,12:02:54,sedan,ZSF-518,17,031,510300,2
1600 W 87TH ST,ASHLAND AND 87TH,10/10/2014,06:47:14,sedan,IYG-827,17,031,711200,2
4200 S CICERO AVENUE,CICERO AND I55,10/4/2014,05:23:06,truck,DIT-766,17,031,560100,1
4000 W CHICAGO AVENUE,PULASKI AND CHICAGO,8/3/2014,08:04:52,emergency,EIR-095,17,031,842100,5
4800 W PETERSON AVENUE,CICERO AND PETERSON,7/18/2014,04:24:15,sedan,LKB-826,17,031,120200,4
3900 S WESTERN BLVD,PERSHING AND WESTERN,7/8/2014,11:17:40,suv,FBZ-529,17,031,580700,2
3600 N ELSTON AVE,ELSTON AND ADDISON,8/9/2014,23:40:57,police,TEO-411,17,031,831100,1
2400 N HALSTED STREET,HALSTED AND FULLERTON,8/10/2014,17:32:59,police,YPV-460,17,031,070300,2
1 E 63RD ST,63RD AND STATE,11/29/2014,01:50:17,emergency,PME-676,17,031,842500,1
2000 E 95TH ST,JEFFERY AND 95TH,7/6/2014,06:16:30,ambulance,MTR-180,17,031,510300,2
4800 W CHICAGO AVENUE,CICERO AND CHICAGO,7/17/2014,11:47:23,emergency,CLG-106,17,031,251000,1
3600 N HARLEM AVENUE,ADDISON AND HARLEM,10/6/2014,08:23:46,suv,KKT-653,17,031,170400,2
11100 S VINCENNES AVE,VINCENNES AND 111TH,7/15/2014,09:30:41,police,RAK-715,17,031,750200,2
100 N CICERO AVENUE,CICERO AND WASHINGTON,9/3/2014,18:15:22,police,AGH-622,17,031,251800,4
2800 N DAMEN AVENUE,DAMEN AND DIVERSEY,8/6/2014,19:25:14,ambulance,BBA-095,17,031,051400,2
3200 W 71ST STREET,KEDZIE AND 71ST,9/22/2014,01:25:40,suv,UTJ-873,17,031,660900,3
4700 S WESTERN AVENUE,4700 WESTERN,8/3/2014,20:01:33,truck,VEI-526,17,031,842800,4
2400 W LAWRENCE AVENUE,LAWRENCE AND WESTERN,9/27/2014,05:24:18,ambulance,DIR-965,17,031,040201,1
2000 E 79TH STREET,JEFFERY AND 79TH,7/4/2014,05:51:14,police,YOM-136,17,031,431200,1
3200 W ARMITAGE AVENUE,KEDZIE AND ARMITAGE,7/31/2014,21:58:24,emergency,TIJ-463,17,031,221100,2
300 N HAMLIN AVENUE,HAMLIN AND LAKE,9/5/2014,19:08:45,suv,CDG-248,17,031,260100,1
2416 S BLUE ISLAND AV,BLUE ISLAND AND DAMEN,8/9/2014,21:19:29,sedan,DAA-235,17,031,843200,1
500 W ROOSEVELT ROAD,CANAL AND ROOSEVELT,9/26/2014,23:07:51,police,KBL-370,17,031,841900,2
1000 W HOLLYWOOD AVE,HOLLYWOOD AND SHERIDAN,7/10/2014,06:41:49,truck,HLO-728,17,031,030604,3
5075 W MONTROSE AVENUE,MILWAUKEE AND MONTROSE,8/1/2014,00:42:50,suv,RIP-556,17,031,150200,2
8300 S HALSTED STREET,HALSTED AND 83RD,9/24/2014,10:10:18,emergency,OOL-538,17,031,711000,2
7200 N WESTERN AVENUE,WESTERN AND TOUHY,8/13/2014,02:35:33,emergency,DJF-787,17,031,020200,2
4000 N ASHLAND AVENUE,ASHLAND AND IRVING PARK,8/25/2014,08:48:01,emergency,IEF-077,17,031,060200,2
3200 W 31ST STREET,KEDZIE AND 31ST,7/13/2014,06:30:02,truck,URE-302,17,031,840800,2
4700 S WESTERN AVENUE,4700 WESTERN,7/31/2014,03:02:35,police,HLL-777,17,031,842800,4
7900 S STONEY ISLAND,STONEY ISLAND AND 79TH,8/1/2014,23:33:41,truck,YUZ-220,17,031,834300,6
6400 W FOSTER,FOSTER AND NAGLE,9/8/2014,10:27:53,emergency,YOU-560,17,031,100600,2
4800 N PULASKI ROAD,PULASKI AND LAWRENCE,8/10/2014,00:33:29,emergency,AKZ-273,17,031,140400,1
4800 N ASHLAND AVENUE,ASHLAND AND LAWRENCE,8/25/2014,10:31:25,suv,RSS-291,17,031,031000,3
800 W 115TH STREET,115TH AND HALSTED,8/18/2014,03:20:49,truck,ZFG-864,17,031,750600,1
800 W NORTH AVENUE,HALSTED AND NORTH,9/18/2014,15:41:02,police,SUI-253,17,031,832600,1
2400 N CLARK ST,CLARK AND FULLERTON,8/22/2014,07:43:20,sedan,HKC-158,17,031,070103,1
8300 S HALSTED STREET,HALSTED AND 83RD,9/8/2014,00:53:09,suv,MGO-157,17,031,711000,2
2400 W LAWRENCE AVENUE,LAWRENCE AND WESTERN,8/7/2014,04:40:36,emergency,IVA-560,17,031,040201,1
2000 W DIVISION,DIVISION AND DAMEN,10/12/2014,20:10:39,truck,VCB-955,17,031,241400,4
400 W BELMONT AVE,LAKE SHORE DR AND BELMONT,7/24/2014,01:57:13,police,OGO-755,17,031,061902,1
1 N HALSTED STREET,HALSTED AND MADISON,10/5/2014,08:55:12,police,FRH-238,17,031,280100,3
7200 N WESTERN AVENUE,WESTERN AND TOUHY,9/27/2014,07:39:59,police,CLB-282,17,031,020200,2
11100 S VINCENNES AVE,VINCENNES AND 111TH,7/10/2014,08:05:54,sedan,RIV-896,17,031,750200,2
150 N SACRAMENTO BOUL,SACRAMENTO AND LAKE,9/6/2014,12:22:24,sedan,TYR-451,17,031,837100,1
4000 W NORTH AVENUE,PULASKI AND NORTH,8/4/2014,01:58:35,suv,GSJ-759,17,031,230500,1
3200 N LAKESHORE DRIV,LAKE SHORE DR AND BELMONT,8/23/2014,12:15:22,sedan,ZPH-817,17,031,061902,4
100 W CHICAGO AVENUE,CHICAGO AND CLARK,8/5/2014,03:06:40,police,GMD-213,17,031,081000,5
400 N LASALLE,LASALLE AND KINZIE,7/23/2014,05:52:52,emergency,GIO-586,17,031,081700,2
3600 N CICERO AVENUE,CICERO AND ADDISON,7/27/2014,12:05:09,ambulance,RVM-313,17,031,150800,3
4000 W LAWRENCE AVENUE,PULASKI AND LAWRENCE,9/14/2014,12:48:33,emergency,JYD-628,17,031,140400,1
1200 N ASHLAND AVENUE,ASHLAND AND DIVISION,9/23/2014,22:56:01,ambulance,ZVT-151,17,031,241400,3
4400 W GRAND AVE,KOSTNER AND NORTH,10/10/2014,18:55:40,sedan,SFN-858,17,031,230500,2
3200 W IRVING PARK ROAD,IRVING PARK AND KEDZIE,7/29/2014,23:11:41,truck,HLE-476,17,031,160502,2
2200 S PULASKI,CERMAK AND PULASKI,8/14/2014,17:31:58,truck,KBZ-356,17,031,843400,1
5600 W BELMONT AVENUE,CENTRAL AND BELMONT,8/23/2014,18:20:11,truck,JFZ-377,17,031,151200,2
800 W DIVISION,HALSTED AND DIVISION,9/7/2014,03:12:47,truck,ECA-998,17,031,842200,1
2400 N CENTRAL AVENUE,CENTRAL AND FULLERTON,9/1/2014,22:45:17,truck,HPK-237,17,031,190602,2
4800 W HARRISON STREET,CICERO AND HARRISON,7/22/2014,17:34:59,ambulance,MMM-979,17,031,252202,5
4000 N CLARK STREET,CLARK AND IRVING PARK,8/14/2014,03:34:22,police,JCV-388,17,031,060100,2
6000 W DIVERSEY AVENUE,DIVERSEY AND AUSTIN,8/29/2014,01:48:49,police,FKV-249,17,031,190401,2
100 W CHICAGO AVENUE,CHICAGO AND CLARK,9/9/2014,05:20:04,suv,GDK-100,17,031,081000,5
2400 W 55TH STREET,55TH AND WESTERN,7/19/2014,12:56:12,ambulance,YNB-575,17,031,630500,2
400 N LASALLE,LASALLE AND KINZIE,7/30/2014,15:21:22,ambulance,CNB-825,17,031,081700,2
6000 W DIVERSEY AVENUE,DIVERSEY AND AUSTIN,9/13/2014,21:19:14,emergency,NMB-489,17,031,190401,2
2400 N WESTERN AVENUE,WESTERN AND FULLERTON,7/21/2014,05:43:56,emergency,YOU-570,17,031,830900,2
4200 S CICERO AVENUE,CICERO AND I55,7/17/2014,22:04:04,police,FBI-618,17,031,560100,1
1200 N PULASKI ROAD,PULASKI AND DIVISION,9/11/2014,03:05:27,ambulance,OCV-659,17,031,230600,2
6400 N HARLEM AVE,HARLEM AND NORTHWEST HWY,10/12/2014,19:22:46,truck,CAO-059,17,031,090200,3
2400 W 51ST ST,WESTERN AND 51ST,7/6/2014,06:53:00,suv,IFR-017,17,031,630600,1
3600 N CICERO AVENUE,CICERO AND ADDISON,10/13/2014,20:56:59,suv,HOH-470,17,031,150800,3
1200 W FOSTER AVE,FOSTER AND BROADWAY,9/27/2014,16:19:12,police,RHL-733,17,031,030800,4
6400 N CALIFORNIA AVE,CALIFORNIA AND DEVON,7/4/2014,11:48:17,police,KOL-467,17,031,020601,3
4000 W CHICAGO AVENUE,PULASKI AND CHICAGO,10/11/2014,09:14:23,ambulance,RKT-230,17,031,842100,5
6700 S STONY ISLAND A,STONY ISLAND/CORNELL AND 67TH,7/4/2014,20:42:10,emergency,EUB-767,17,031,430300,1
5600 W ADDISON STREET,CENTRAL AND ADDISON,9/25/2014,04:40:27,police,HAB-094,17,031,150600,2
4800 W CHICAGO AVENUE,CICERO AND CHICAGO,8/28/2014,01:44:02,sedan,IYB-499,17,031,251000,1
5600 W FULLERTON AVENU,CENTRAL AND FULLERTON,7/17/2014,21:52:03,truck,CEA-769,17,031,190602,2
5600 W LAKE STREET,CENTRAL AND LAKE,8/11/2014,00:20:15,police,CLN-747,17,031,251400,4
4800 W 47TH ST,CICERO AND 47TH,8/23/2014,09:31:16,sedan,HKU-161,17,031,560100,1
800 W 111TH ST,111TH AND HALSTED,9/10/2014,21:14:31,ambulance,MIS-445,17,031,750100,1
3100 S ASHLAND AVENUE,ASHLAND AND ARCHER,8/10/2014,13:08:35,ambulance,VTG-603,17,031,840400,1
2400 W 55TH STREET,55TH AND WESTERN,7/3/2014,13:31:45,police,YCS-741,17,031,630500,2
800 W ROOSEVELT ROAD,ROOSEVELT AND HALSTED,10/12/2014,06:59:04,police,NYK-312,17,031,841900,1
5200 S CICERO AVE,ARCHER AND CICERO,9/6/2014,00:57:08,sedan,CBG-584,17,031,835200,1
2400 N CLARK ST,CLARK AND FULLERTON,7/6/2014,05:11:41,emergency,CYJ-259,17,031,070103,1
3200 N KEDZIE AVE,BELMONT AND KEDZIE,7/14/2014,07:38:10,sedan,KRA-378,17,031,831100,1
800 W 115TH STREET,115TH AND HALSTED,8/10/2014,22:25:02,truck,AOD-901,17,031,750600,1
3200 N KEDZIE AVENUE,BELMONT AND KEDZIE,9/19/2014,11:13:29,police,EVC-651,17,031,831100,1
5000 S ARCHER AVE,PULASKI AND ARCHER,9/9/2014,08:46:49,suv,ZEU-593,17,031,570300,2
4800 N PULASKI ROAD,PULASKI AND LAWRENCE,7/19/2014,18:48:36,police,VHA-911,17,031,140400,1
2400 W FOSTER AVE,WESTERN AND FOSTER,7/23/2014,23:40:55,emergency,JES-374,17,031,040201,1
2400 N CENTRAL AVENUE,CENTRAL AND FULLERTON,8/8/2014,04:37:38,truck,BKF-900,17,031,190602,2
1200 N PULASKI ROAD,PULASKI AND DIVISION,8/9/2014,05:42:26,suv,OYL-647,17,031,230600,2
4800 W PETERSON AVENUE,CICERO AND PETERSON,7/7/2014,17:52:19,emergency,PIR-260,17,031,120200,4
3500 S WESTERN,35TH AND WESTERN,7/4/2014,03:32:10,suv,VSO-084,17,031,840300,1
3200 W 55TH STREET,55TH AND KEDZIE,10/1/2014,17:26:24,police,JSM-371,17,031,630300,2
800 W 103RD STREET,HALSTED AND 103RD,9/5/2014,04:20:04,emergency,BJT-282,17,031,730600,3
30 W 87TH STREET,LAFAYETTE AND 87TH,7/11/2014,05:39:17,ambulance,NEO-702,17,031,842400,1
5000 S ARCHER AVE,PULASKI AND ARCHER,9/4/2014,17:22:30,suv,LGF-132,17,031,570300,2
2800 N DAMEN AVENUE,DAMEN AND DIVERSEY,10/13/2014,23:56:37,truck,HIT-339,17,031,051400,2
800 W ROOSEVELT ROAD,ROOSEVELT AND HALSTED,9/10/2014,00:28:58,police,OUB-407,17,031,841900,1
4700 S CICERO AVE,CICERO AND 47TH,8/9/2014,15:38:11,emergency,PKE-871,17,031,560300,1
2400 N HALSTED STREET,HALSTED AND FULLERTON,7/10/2014,21:19:54,suv,ELF-316,17,031,070300,2
1000 W HOLLYWOOD AVE,HOLLYWOOD AND SHERIDAN,9/23/2014,12:29:37,suv,AIA-634,17,031,030604,3
6400 W FULLERTON AVENU,FULLERTON AND NARRAGANSETT,9/29/2014,08:53:24,ambulance,HDF-156,17,031,831500,1
5200 N WESTERN AVE,WESTERN AND FOSTER,9/30/2014,20:16:51,truck,DON-020,17,031,040201,1
6400 N WESTERN AVENUE,WESTERN AND DEVON,8/3/2014,18:41:15,ambulance,CZY-530,17,031,020602,2
3600 N HARLEM AVENUE,ADDISON AND HARLEM,8/27/2014,21:00:29,sedan,JNU-185,17,031,170400,2
2800 N WESTERN AVENUE,DIVERSEY AND WESTERN,8/14/2014,21:01:30,police,PEA-930,17,031,210900,2
7200 N WESTERN AVENUE,WESTERN AND TOUHY,9/29/2014,18:31:53,emergency,STM-813,17,031,020200,2
4800 W NORTH AVENUE,CICERO AND NORTH,7/10/2014,17:55:25,truck,GCZ-865,17,031,250200,2
6400 W FULLERTON AVENU,FULLERTON AND NARRAGANSETT,9/22/2014,04:05:15,suv,TRJ-180,17,031,831500,1
5700 S CORNELL DRIVE,CORNELL DRIVE AND 57TH,7/22/2014,03:46:31,ambulance,GRP-258,17,031,411000,2
4000 W NORTH AVENUE,PULASKI AND NORTH,7/24/2014,19:15:01,police,VZJ-169,17,031,230500,1
2000 N KEDZIE AVENUE,KEDZIE AND ARMITAGE,9/27/2014,14:35:47,sedan,GRI-067,17,031,221100,2
5600 W IRVING PARK ROAD,CENTRAL AND IRVING PARK,7/17/2014,15:35:53,sedan,PHP-433,17,031,150402,1
5600 W CHICAGO AVENUE,CENTRAL AND CHICAGO,7/7/2014,19:52:25,suv,TIM-715,17,031,251300,2
2400 W MONTROSE AVENUE,MONTROSE AND WESTERN,7/23/2014,09:05:07,truck,ZBR-364,17,031,040800,1
5200 N ELSTON AVENUE,ELSTON AND FOSTER,7/18/2014,10:27:14,ambulance,IME-208,17,031,120400,2
800 W 99TH ST,99TH AND HALSTED,7/18/2014,11:18:58,ambulance,TBM-611,17,031,730400,3
3200 W 71ST STREET,KEDZIE AND 71ST,9/5/2014,04:04:51,ambulance,BOU-832,17,031,660900,3
800 W 103RD STREET,HALSTED AND 103RD,10/4/2014,14:06:57,sedan,KMA-602,17,031,730600,3
800 W FULLERTON AVENUE,HALSTED AND FULLERTON,7/24/2014,13:59:30,emergency,RPD-736,17,031,070300,2
3200 W IRVING PARK ROAD,IRVING PARK AND KEDZIE,7/8/2014,20:17:10,sedan,SDR-498,17,031,160502,2
4800 W PETERSON AVENUE,CICERO AND PETERSON,8/19/2014,15:50:35,police,UKT-932,17,031,120200,4
3900 S WESTERN BLVD,PERSHING AND WESTERN,7/4/2014,11:11:35,sedan,EML-357,17,031,580700,2
2000 E 79TH STREET,JEFFERY AND 79TH,9/13/2014,16:30:21,sedan,DTG-333,17,031,431200,1
3100 S ARCHER AVENUE,ASHLAND AND ARCHER,9/23/2014,20:45:35,ambulance,CMI-738,17,031,840400,1
4000 W CERMAK,CERMAK AND PULASKI,8/8/2014,17:41:32,police,SFO-487,17,031,292500,2
3200 W IRVING PARK ROAD,IRVING PARK AND KEDZIE,8/20/2014,12:25:05,emergency,OKI-178,17,031,160502,2
4000 W ARMITAGE AVENUE,PULASKI AND ARMITAGE,9/14/2014,03:25:00,ambulance,DDI-282,17,031,200402,1
400 E 31ST STREET,31ST ST AND MARTIN LUTHER KING DRIVE,7/19/2014,01:16:02,truck,BZO-198,17,031,350100,1
9500 S ASHLAND AVENUE,ASHLAND AND 95TH,9/2/2014,02:25:38,suv,ETU-208,17,031,730400,2
5600 W FULLERTON AVENU,CENTRAL AND FULLERTON,10/1/2014,22:37:04,truck,BZM-915,17,031,190602,2
4000 W DIVERSEY AVENUE,PULASKI AND DIVERSEY,10/2/2014,21:55:15,truck,CYE-785,17,031,210400,2
2800 N CENTRAL AVENUE,CENTRAL AND DIVERSEY,9/11/2014,03:20:22,police,PIU-578,17,031,190402,2
5000 S ARCHER AVE,PULASKI AND ARCHER,9/14/2014,11:12:24,sedan,RKV-055,17,031,570300,2
2400 W ADDISON,WESTERN AND ADDISON,7/20/2014,18:53:10,suv,ZOG-381,17,031,843700,1
4000 W FOSTER AVE,PULASKI AND FOSTER,8/7/2014,13:19:30,emergency,VZO-165,17,031,130200,1
1 E 63RD ST,63RD AND STATE,8/16/2014,03:47:54,sedan,ZVO-025,17,031,842500,1
4000 W LAWRENCE AVENUE,PULASKI AND LAWRENCE,9/13/2014,07:16:33,sedan,PKA-851,17,031,140400,1
6300 S PULASKI RD,PULASKI AND 63RD,7/14/2014,22:28:34,ambulance,UYS-619,17,031,650301,3
2800 N PULASKI ROAD,PULASKI AND DIVERSEY,7/16/2014,23:57:30,emergency,VCE-990,17,031,210400,2
30 W 87TH STREET,LAFAYETTE AND 87TH,7/14/2014,22:06:25,truck,GAC-658,17,031,842400,1
11100 S VINCENNES AVE,VINCENNES AND 111TH,7/21/2014,09:08:07,truck,JKC-558,17,031,750200,2
800 N WESTERN AVE,WESTERN AND CHICAGO,8/26/2014,18:29:53,police,HGM-808,17,031,242500,2
0 N HAMLIN BOULEVARD,HAMLIN AND MADISON,9/30/2014,07:15:06,suv,SZC-371,,,,
5600 W ADDISON STREET,CENTRAL AND ADDISON,9/14/2014,19:29:27,sedan,KBN-041,17,031,150600,2
11100 S VINCENNES AVE,VINCENNES AND 111TH,12/11/2014,21:26:14,truck,TKB-449,17,031,750200,2
5600 W BELMONT AVENUE,CENTRAL AND BELMONT,9/23/2014,03:29:16,police,HHC-419,17,031,151200,2
1 E 75TH STREET,75TH AND STATE,9/12/2014,19:43:29,emergency,FMG-388,17,031,691300,1
11100 S VINCENNES AVE,VINCENNES AND 111TH,10/11/2014,13:17:31,truck,MGG-776,17,031,750200,2
7600 S STONY ISLAND A,STONEY ISLAND AND 76TH,10/3/2014,18:41:06,suv,PLL-120,17,031,834200,4
2000 N KEDZIE AVENUE,KEDZIE AND ARMITAGE,9/19/2014,09:47:13,ambulance,BMT-039,17,031,221100,2
6300 S KEDZIE AVE,KEDZIE AND 63RD,9/20/2014,15:12:30,ambulance,PJK-317,17,031,660500,1
4800 W CHICAGO AVENUE,CICERO AND CHICAGO,9/10/2014,14:27:34,police,ILP-719,17,031,251000,1
3100 S ASHLAND AVENUE,ASHLAND AND ARCHER,7/12/2014,07:05:50,truck,BDR-914,17,031,840400,1
1600 N KOSTNER,KOSTNER AND NORTH,8/3/2014,13:12:19,emergency,UMZ-524,17,031,230500,2
3800 W MADISON STREET,HAMLIN AND MADISON,8/2/2014,12:17:40,suv,JCE-259,17,031,260100,1
1200 W FOSTER AVE,FOSTER AND BROADWAY,9/18/2014,04:43:51,sedan,NLF-552,17,031,030800,4
